Date,Close,High,Low,Open,Volume,sentiment_score_mean,sentiment_polarity_mean,sentiment_subjectivity_mean,news_count,return,log_return,vol_7d,vol_30d,ma_7,ma_30,ma_ratio
2021-10-12,2.119189977645874,2.173574924468994,2.0755839347839355,2.173525094985962,3467823586,1.0,0.16,0.5,1.0,,,,,,,
2021-10-13,2.189053058624268,2.196760892868042,2.0895650386810303,2.1193768978118896,3088601173,1.0,0.16,0.5,1.0,0.03296687966408851,0.03243512734284555,,,,,
2021-10-14,2.170362949371338,2.221946954727173,2.1588668823242188,2.1872479915618896,2171800205,1.0,0.16,0.5,1.0,-0.008537988231621996,-0.008574645656052631,,,,,
2021-10-15,2.214651107788086,2.2405691146850586,2.1391348838806152,2.172977924346924,3419909583,0.0,0.0,0.0,1.0,0.020405876551466307,0.02020046633544543,,,,,
2021-10-16,2.177712917327881,2.247747898101806,2.171731948852539,2.215553998947144,2415050040,0.0,0.0,0.0,1.0,-0.016679011122929244,-0.016819672079514212,,,,,
2021-10-17,2.1569631099700928,2.1876749992370605,2.096560001373291,2.1776371002197266,2044782419,0.0,0.0,0.0,1.0,-0.009528256545058622,-0.009573940807298606,,,,,
2021-10-18,2.128262996673584,2.1698899269104004,2.10994291305542,2.1578330993652344,2594342479,1.0,0.14,0.45,1.0,-0.013305797008696496,-0.013395112284441943,,,2.165170873914446,,
2021-10-19,2.112962007522583,2.155571937561035,2.0966060161590576,2.1282129287719727,3071082063,1.0,0.1,0.4,1.0,-0.007189425919125636,-0.007215394382066219,0.018878718482131705,,2.1642811638968333,,
2021-10-20,2.1859500408172607,2.206167936325073,2.09511399269104,2.1113030910491943,3023618047,1.0,0.1,0.4,1.0,0.034542993690764634,0.03395977721494755,0.019324488176748714,,2.163837875638689,,
2021-10-21,2.1365909576416016,2.296410083770752,2.1347100734710693,2.189640045166016,3967007331,1.0,0.1,0.4,1.0,-0.02258015153777504,-0.022838986942591444,0.021031172366675753,,2.1590133053915843,,
2021-10-22,2.1541988849639893,2.208739995956421,2.1334190368652344,2.1375129222869877,2785878320,1.0,0.1,0.4,1.0,0.008241131630466025,0.008207358928507422,0.019316989207016546,,2.1503772735595703,,
2021-10-23,2.1668150424957275,2.174762964248657,2.134751081466675,2.156006097793579,2115938187,1.0,0.1,0.4,1.0,0.005856542596784919,0.00583945971648482,0.01869002225360002,,2.1488204342978343,,
2021-10-24,2.1234350204467773,2.16968297958374,2.095418930053711,2.166815996170044,2188895748,1.0,0.1,0.4,1.0,-0.020020177633152003,-0.020223296951068174,0.019923843055928158,,2.1440307072230746,,
2021-10-25,2.144066095352173,2.1762518882751465,2.1156508922576904,2.1198010444641118,2398064828,1.0,0.1,0.4,1.0,0.009715896510482658,0.009669000699870764,0.01967680782541025,,2.1462882927485873,,
2021-10-26,2.138777017593384,2.1995890140533447,2.1289820671081543,2.143915891647339,2803084142,1.0,0.1,0.4,1.0,-0.00246684454842816,-0.0024698922225651304,0.019424432256032326,,2.1499761513301303,,
