Date,Close,High,Low,Open,Volume,asset,return,log_return,vol_7d,vol_30d,ma_7,ma_30,ma_ratio
2023-04-17,0.0,,,,46385210,PEPE,,,,,,,
2023-04-18,0.0,,,,73954201,PEPE,,,,,,,
2023-04-19,0.0,,,,170056322,PEPE,,,,,,,
2023-04-20,0.0,,,,120513516,PEPE,,,,,,,
2023-04-21,0.0,,,,98777429,PEPE,,,,,,,
2023-04-22,0.0,,,,72899501,PEPE,,,,,,,
2023-04-23,0.0,,,,65664906,PEPE,,,,,0.0,,
2023-04-24,0.0,,,,43179311,PEPE,,,,,0.0,,
2023-04-25,0.0,,,,40308160,PEPE,,,,,0.0,,
2023-04-26,0.0,,,,43065359,PEPE,,,,,0.0,,
2023-04-27,0.0,,,,35108817,PEPE,,,,,0.0,,
2023-04-28,0.0,,,,38448735,PEPE,,,,,0.0,,
2023-04-29,0.0,,,,71195106,PEPE,,,,,0.0,,
2023-04-30,9.999999974752427e-07,9.999999974752427e-07,0.0,0.0,253721222,PEPE,inf,inf,,,1.4285714249646325e-07,,
2023-05-01,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,522825244,PEPE,0.0,0.0,,,2.857142849929265e-07,,
2023-05-02,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,316033773,PEPE,0.0,0.0,,,4.285714274893897e-07,,
2023-05-03,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,245371458,PEPE,0.0,0.0,,,5.71428569985853e-07,,
2023-05-04,1.999999994950485e-06,1.999999994950485e-06,9.999999974752427e-07,9.999999974752427e-07,509285548,PEPE,0.9999999999999996,0.6931471805599451,,,8.571428549787794e-07,,
2023-05-05,3.999999989900971e-06,3.999999989900971e-06,1.999999994950485e-06,1.999999994950485e-06,2429515589,PEPE,1.0000000000000004,0.6931471805599455,,,1.4285714249646325e-06,,
2023-05-06,3.000000106112566e-06,3.999999989900971e-06,1.999999994950485e-06,3.999999989900971e-06,1690417724,PEPE,-0.24999997157829046,-0.2876820345561689,,,1.857142868694999e-06,,
2023-05-07,3.000000106112566e-06,3.000000106112566e-06,1.999999994950485e-06,3.000000106112566e-06,893087775,PEPE,0.0,0.0,0.3810611693747851,,2.1428571699289023e-06,,
2023-05-08,1.999999994950485e-06,3.000000106112566e-06,1.999999994950485e-06,3.000000106112566e-06,1251218397,PEPE,-0.33333335859707425,-0.4054651460037765,0.43578144763577414,,2.2857143124253654e-06,,
2023-05-09,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,601225991,PEPE,0.0,0.0,0.43578144763577414,,2.428571454921829e-06,,
2023-05-10,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,477052759,PEPE,0.0,0.0,0.43578144763577414,,2.571428597418292e-06,,
2023-05-11,9.999999974752427e-07,1.999999994950485e-06,9.999999974752427e-07,1.999999994950485e-06,623872068,PEPE,-0.4999999999999999,-0.6931471805599451,0.43578144763577414,,2.428571454921829e-06,,
2023-05-12,1.999999994950485e-06,1.999999994950485e-06,9.999999974752427e-07,9.999999974752427e-07,965324271,PEPE,0.9999999999999996,0.6931471805599451,0.4357814476357741,,2.142857169928902e-06,,
