Dataset,Model,MAPE
aave.csv,GRU,0.19786156713962555
aave.csv,RNN,0.19832263886928558
algorand.csv,GRU,0.2792316973209381
algorand.csv,RNN,0.47876936197280884
aptos.csv,GRU,0.08383189141750336
aptos.csv,RNN,0.08367909491062164
arbitrum.csv,GRU,0.05964634567499161
arbitrum.csv,RNN,0.09871494024991989
avalanche.csv,GRU,0.4043304920196533
avalanche.csv,RNN,0.32933515310287476
axie_infinity.csv,GRU,0.9905261397361755
axie_infinity.csv,RNN,0.7551773190498352
binance_coin.csv,GRU,0.11040166020393372
binance_coin.csv,RNN,0.11202161759138107
bitcoin.csv,GRU,0.9927478432655334
bitcoin.csv,RNN,0.9927671551704407
bitcoin_cash.csv,GRU,0.23062653839588165
bitcoin_cash.csv,RNN,0.2411009669303894
cardano.csv,GRU,0.11662108451128006
cardano.csv,RNN,0.26180413365364075
chainlink.csv,GRU,0.2948782444000244
chainlink.csv,RNN,0.2664526700973511
cosmos.csv,GRU,0.4875732660293579
cosmos.csv,RNN,0.20572958886623383
decentraland.csv,GRU,0.10932432860136032
decentraland.csv,RNN,0.2872386872768402
dogecoin.csv,GRU,0.13272400200366974
dogecoin.csv,RNN,0.19265368580818176
eos.csv,GRU,0.16224783658981323
eos.csv,RNN,0.26984333992004395
ethereum.csv,GRU,0.8748431205749512
ethereum.csv,RNN,0.8756266832351685
fantom.csv,GRU,0.23180553317070007
fantom.csv,RNN,0.2689269185066223
filecoin.csv,GRU,0.3417937159538269
filecoin.csv,RNN,0.6410062909126282
flow.csv,GRU,1.6289513111114502
flow.csv,RNN,0.9368623495101929
hedera.csv,GRU,0.15769647061824799
hedera.csv,RNN,0.2485140711069107
immutable.csv,GRU,0.23119843006134033
immutable.csv,RNN,0.19489547610282898
injective.csv,GRU,0.25146156549453735
injective.csv,RNN,0.2604132890701294
internet_computer.csv,GRU,0.3911171555519104
internet_computer.csv,RNN,0.7399636507034302
kaspa.csv,GRU,0.3031930923461914
kaspa.csv,RNN,0.5057903528213501
lido.csv,GRU,0.054994478821754456
lido.csv,RNN,0.21401768922805786
litecoin.csv,GRU,0.29223695397377014
litecoin.csv,RNN,0.28599032759666443
maker.csv,GRU,0.8353277444839478
maker.csv,RNN,0.8352359533309937
near.csv,GRU,0.23766237497329712
near.csv,RNN,0.2748730182647705
optimism.csv,GRU,0.07950905710458755
optimism.csv,RNN,0.1395312249660492
pepe.csv,GRU,6805.162109375
pepe.csv,RNN,31101.046875
polkadot.csv,GRU,0.904526948928833
polkadot.csv,RNN,0.9915165305137634
polygon.csv,GRU,0.08655481040477753
polygon.csv,RNN,0.1301191747188568
render.csv,GRU,0.09268123656511307
render.csv,RNN,0.17714780569076538
sandbox.csv,GRU,0.1539319008588791
sandbox.csv,RNN,0.31532609462738037
shiba_inu.csv,GRU,314.8407287597656
shiba_inu.csv,RNN,970.0716552734375
solana.csv,GRU,0.341791570186615
solana.csv,RNN,0.33819201588630676
stacks.csv,GRU,0.11442336440086365
stacks.csv,RNN,0.22043931484222412
stellar.csv,GRU,0.06436461210250854
stellar.csv,RNN,0.1533592790365219
sui.csv,GRU,0.1202981024980545
sui.csv,RNN,0.2076084315776825
tether.csv,GRU,0.008521223440766335
tether.csv,RNN,0.023995868861675262
tezos.csv,GRU,0.38012492656707764
tezos.csv,RNN,0.34518706798553467
theta.csv,GRU,0.3442467749118805
theta.csv,RNN,0.34608694911003113
the_graph.csv,GRU,0.09146303683519363
the_graph.csv,RNN,0.3240217864513397
toncoin.csv,GRU,0.04802735522389412
toncoin.csv,RNN,0.04518507793545723
tron.csv,GRU,0.14225278794765472
tron.csv,RNN,0.17565825581550598
uniswap.csv,GRU,0.4460189938545227
uniswap.csv,RNN,0.5151640176773071
usd_coin.csv,GRU,0.00549108674749732
usd_coin.csv,RNN,0.02704313024878502
vechain.csv,GRU,0.2856028079986572
vechain.csv,RNN,1.9188870191574097
xrp.csv,GRU,0.036692533642053604
xrp.csv,RNN,0.06530998647212982
