,feature,importance
0,Close,0.47646522440598515
1,High,0.22567339942996278
2,Low,0.14071650698837637
3,Open,0.09038260968139501
13,ma_30,0.02369992736043856
12,ma_7,0.012485155499235536
11,vol_30d,0.006587252496104069
4,Volume,0.0052719880366658865
9,log_return,0.005018548241444793
10,vol_7d,0.004156699784518512
14,ma_ratio,0.0033491078924338543
7,sentiment_subjectivity_mean,0.001831898810638033
6,sentiment_polarity_mean,0.0016864564714181684
8,news_count,0.0013997021380761211
5,sentiment_score_mean,0.001275522763307006
