Model,Dataset,Performance (AUC)
SlidingWindowBinary,aave.csv,0.4532041728763041
SlidingWindowBinary,algorand.csv,0.48226950354609927
SlidingWindowBinary,aptos.csv,0.501466275659824
SlidingWindowBinary,arbitrum.csv,0.3846153846153846
SlidingWindowBinary,avalanche.csv,0.5523989898989898
SlidingWindowBinary,axie_infinity.csv,0.505952380952381
SlidingWindowBinary,binance_coin.csv,0.45853365384615385
SlidingWindowBinary,bitcoin.csv,0.46229508196721314
SlidingWindowBinary,bitcoin_cash.csv,0.4565863812072555
SlidingWindowBinary,cardano.csv,0.5024132730015083
SlidingWindowBinary,chainlink.csv,0.512031678342979
SlidingWindowBinary,cosmos.csv,0.4432190760059613
SlidingWindowBinary,decentraland.csv,0.4933894230769231
SlidingWindowBinary,dogecoin.csv,0.4995475113122172
SlidingWindowBinary,eos.csv,0.473604826546003
SlidingWindowBinary,ethereum.csv,0.5106060606060606
SlidingWindowBinary,fantom.csv,0.4833333333333333
SlidingWindowBinary,filecoin.csv,0.40801096558026195
SlidingWindowBinary,flow.csv,0.4457575757575757
SlidingWindowBinary,hedera.csv,0.5310633213859021
SlidingWindowBinary,immutable.csv,0.49393939393939396
SlidingWindowBinary,injective.csv,0.5351812366737739
SlidingWindowBinary,internet_computer.csv,0.4997019374068554
SlidingWindowBinary,kaspa.csv,0.46892497200447925
SlidingWindowBinary,lido.csv,0.44892473118279574
SlidingWindowBinary,litecoin.csv,0.5410347903657449
SlidingWindowBinary,maker.csv,0.46990116801437554
SlidingWindowBinary,near.csv,0.45035460992907794
SlidingWindowBinary,optimism.csv,0.5198863636363636
SlidingWindowBinary,pepe.csv,0.5
SlidingWindowBinary,polkadot.csv,0.4763402216232405
SlidingWindowBinary,polygon.csv,0.5126201923076923
SlidingWindowBinary,render.csv,0.46726998491704375
SlidingWindowBinary,sandbox.csv,0.550314465408805
SlidingWindowBinary,shiba_inu.csv,0.5
SlidingWindowBinary,solana.csv,0.4731182795698925
SlidingWindowBinary,stacks.csv,0.5005952380952381
SlidingWindowBinary,stellar.csv,0.5352363960749331
SlidingWindowBinary,sui.csv,0.4281045751633987
SlidingWindowBinary,tether.csv,0.4285714285714286
SlidingWindowBinary,tezos.csv,0.48818181818181816
SlidingWindowBinary,theta.csv,0.4928315412186379
SlidingWindowBinary,the_graph.csv,0.3333333333333333
SlidingWindowBinary,toncoin.csv,0.4656556645851918
SlidingWindowBinary,tron.csv,0.48100490196078427
SlidingWindowBinary,uniswap.csv,0.38730300327088907
SlidingWindowBinary,usd_coin.csv,0.4401018268942797
SlidingWindowBinary,vechain.csv,0.5162259615384616
SlidingWindowBinary,xrp.csv,0.368452380952381
