Model,Dataset,Performance (MAPE)
SlidingWindowRegression,aave.csv,0.043839541066019144
SlidingWindowRegression,algorand.csv,0.0440686331478274
SlidingWindowRegression,aptos.csv,0.048749936867893195
SlidingWindowRegression,arbitrum.csv,0.040497189196339864
SlidingWindowRegression,avalanche.csv,0.06441064429977074
SlidingWindowRegression,axie_infinity.csv,0.039081134707007366
SlidingWindowRegression,binance_coin.csv,0.020910887260021844
SlidingWindowRegression,bitcoin.csv,0.02642581621463439
SlidingWindowRegression,bitcoin_cash.csv,0.03619875542151295
SlidingWindowRegression,cardano.csv,0.041878378265891386
SlidingWindowRegression,chainlink.csv,0.052523338454887325
SlidingWindowRegression,cosmos.csv,0.0400363413346164
SlidingWindowRegression,decentraland.csv,0.04128217814022982
SlidingWindowRegression,dogecoin.csv,0.0304540183459769
SlidingWindowRegression,eos.csv,0.02957046305435045
SlidingWindowRegression,ethereum.csv,0.026942169719381258
SlidingWindowRegression,fantom.csv,0.04718554659672115
SlidingWindowRegression,filecoin.csv,0.03942769634442046
SlidingWindowRegression,flow.csv,0.04005638281243671
SlidingWindowRegression,hedera.csv,0.03635221016479627
SlidingWindowRegression,immutable.csv,0.06700435159635981
SlidingWindowRegression,injective.csv,0.06750485081865681
SlidingWindowRegression,internet_computer.csv,0.05188075405736243
SlidingWindowRegression,kaspa.csv,0.07512171899945572
SlidingWindowRegression,lido.csv,0.0422042102757433
SlidingWindowRegression,litecoin.csv,0.025510495864628956
SlidingWindowRegression,maker.csv,0.03391556664728983
SlidingWindowRegression,near.csv,0.04566312683175724
SlidingWindowRegression,optimism.csv,0.049425193534448866
SlidingWindowRegression,pepe.csv,0.1530612244897959
SlidingWindowRegression,polkadot.csv,0.03955481999396857
SlidingWindowRegression,polygon.csv,0.0454030260215107
SlidingWindowRegression,render.csv,0.051918902944690766
SlidingWindowRegression,sandbox.csv,0.03910268916044671
SlidingWindowRegression,shiba_inu.csv,0.03389143115612215
SlidingWindowRegression,solana.csv,0.05935458632282575
SlidingWindowRegression,stacks.csv,0.05257469728548626
SlidingWindowRegression,stellar.csv,0.029915575127404344
SlidingWindowRegression,sui.csv,0.04961561294742459
SlidingWindowRegression,tether.csv,0.0002286890445922042
SlidingWindowRegression,tezos.csv,0.0317892878151993
SlidingWindowRegression,theta.csv,0.0409042102514036
SlidingWindowRegression,the_graph.csv,0.06689673001843076
SlidingWindowRegression,toncoin.csv,0.04830186224135291
SlidingWindowRegression,tron.csv,0.021095180664269002
SlidingWindowRegression,uniswap.csv,0.03680121641493381
SlidingWindowRegression,usd_coin.csv,0.00010867584457929417
SlidingWindowRegression,vechain.csv,0.03823287205368771
SlidingWindowRegression,xrp.csv,0.029500050299157612
